@relation books

@attribute name string
@attribute publisher string
@attribute author string
@attribute priceOther numeric
@attribute priceSite numeric
@attribute pageCount numeric
@attribute saleCount numeric
@attribute genre string
@attribute point numeric
@attribute votes numeric

@data
TYT Matematik Soru Bankası,ÜÇ DÖRT BEŞ YAYINCILIK,Mehmet Kıvrak,68.0,41.51,416,5294, YKS TYT - Temel Yeterlilik Testi,5,242
Pus,PEGASUS YAYINLARI,Karin Fossum,36.94,23.27,336,859, Roman (çeviri),4,39
Romeo ve Juliet (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,William Shakespeare,12.0,7.8,133,10087, İngilizce,5,984
Savaş Sanatı (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Sun Tzu,8.0,5.2,53,14097, Çince,5,1390
Devlet (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Platon(Eflatun),12.96,8.42,372,21748, Eski Yunanca,5,1803
Can Veren Pervaneler,BABIALİ KÜLTÜR YAYINCILIĞI,Hayati İnanç,25.93,14.51,210,6608, Divan Edebiyatı,5,400
Değirmen,YAPI KREDİ YAYINLARI,Sabahattin Ali,8.0,5.12,137,25019, Hikaye (yerli),5,2425
Yetişin Çocuklar & Bebeklikten Ergenliğe Çocuk Yetiştirme Kılavuzu,DOĞAN KİTAP,Prof. Dr. Selçuk R. Şirin,28.7,19.52,224,6032, Çocuk Psikolojisi,5,102
Osmanlı Devleti’nin Kısa Sosyal Tarihi,TİMAŞ YAYINLARI,Prof. Dr. Kemal H. Karpat,35.0,23.8,256,256, Sosyal Tarih,5,11
Pal Sokağı Çocukları,YAPI KREDİ YAYINLARI,Ferenc Molnar,16.0,9.44,244,24810, Macarca,5,1439
Bağırmayan Anneler,HAYY KİTAP,Hatice Kübra Tongar,24.07,13.12,176,48373, Annelik-Babalık-Aile,4,2116
Toprağın Öptüğü Çocuklar & Adaleti Beklerken Roboski,CAN YAYINLARI KAMPANYA,Sibel Oral,24.5,11.03,245,339, Araştırma-İnceleme,4,22
